dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
193,random_021_a=0.5,0.037416,0.226153,0.016911,0.010376,0.433369,0.077745,0.002479,0.072808,0.008784,0.02098,0.092979,4.1267,7.4512,0.681,1.2915,0.1094,64.02,4.3398,0.9944,0.0814,4.835,2.205,0.1395,200,30,60
194,random_022_a=0.5,0.014352,0.105586,0.121189,0.000816,0.070794,0.283992,0.189447,0.0616,0.085786,0.02804,0.038396,4.944,5.8263,-0.0946,1.2155,0.0803,93.92,5.4083,0.9957,0.075,3.825,1.8606,0.0613,200,30,60
195,random_023_a=0.5,0.109229,0.029533,0.000158,0.051669,0.019881,0.110572,0.10459,0.194665,0.160988,0.215367,0.003349,6.0671,8.1542,-0.9917,1.2833,0.0975,108.44,7.6471,1.0011,0.0756,4.77,2.1866,0.4267,200,30,60
196,random_024_a=0.5,0.047881,0.115742,0.164247,0.029681,0.000415,0.059285,0.053449,0.041878,0.001779,0.229417,0.256227,6.0865,13.7792,-0.3345,1.3715,0.1135,87.495,7.0226,1.0107,0.0783,5.915,2.6784,0.1739,200,30,60
197,random_025_a=0.5,0.023776,0.002044,0.103608,0.22888,0.157856,0.070049,3e-06,0.088468,0.027573,0.086336,0.211406,5.6085,9.5312,0.2681,1.2045,0.0704,103.305,5.2583,0.9852,0.0719,3.8,1.7651,0.1037,200,30,60
198,random_026_a=0.5,0.243957,0.070773,0.014867,0.023014,0.187922,0.003685,0.072198,0.379082,0.003554,0.000888,6.1e-05,4.0635,8.4042,-0.3324,1.5565,0.181,39.11,5.3358,1.0352,0.0848,8.025,3.5137,0.6991,200,30,60
199,random_027_a=0.5,0.093414,0.038276,0.156678,0.017536,0.011971,0.396046,0.149729,0.10112,0.012619,0.005233,0.017377,4.3604,5.2168,-0.3718,1.2865,0.1028,74.46,5.3131,0.9983,0.0792,4.72,2.1922,0.3569,200,30,60
200,random_028_a=0.5,0.223997,0.048878,0.252376,0.219046,0.118479,0.066905,0.000327,0.000429,0.001092,0.06781,0.00066,2.6498,5.2379,1.2141,1.4548,0.1348,27.05,3.0486,1.0072,0.0789,7.03,2.8741,0.6832,200,30,60
201,random_029_a=0.5,0.198871,0.032054,0.004412,1e-06,0.084174,0.065355,0.404824,0.036534,0.080891,0.018302,0.074582,4.9467,9.042,-0.4521,1.4222,0.1349,66.565,6.0289,1.0152,0.078,6.675,2.933,0.6412,200,30,60
202,random_030_a=0.5,0.003626,0.003059,1.4e-05,0.000157,0.052865,0.198544,0.004242,0.201152,0.317907,0.060754,0.157679,7.3081,3.45,-0.4827,1.0478,0.0337,184.02,4.7679,0.9662,0.0432,1.265,0.8993,0.0249,200,30,60
203,random_031_a=0.5,0.190925,0.009775,0.021069,0.000186,7.6e-05,0.133398,0.141869,0.330032,0.003317,0.115603,0.053751,5.4857,9.5694,-0.7476,1.374,0.1139,80.24,8.2091,1.0061,0.0835,6.065,2.7346,0.6302,200,30,60
204,random_032_a=0.5,3e-06,0.00282,0.258494,0.071612,0.000447,0.01521,0.196003,0.247374,0.068432,0.027476,0.11213,5.6362,7.2981,-0.1076,1.193,0.0745,110.98,5.0095,0.987,0.0833,3.38,1.5581,0.0001,200,30,60
205,random_033_a=0.5,0.21915,0.051642,4.6e-05,0.079634,0.0026,0.045837,0.006555,0.009354,0.377019,0.013222,0.194942,5.7196,14.631,-0.4971,1.5155,0.1585,62.415,7.7539,1.024,0.0808,7.385,3.1713,0.655,200,30,60
206,random_034_a=0.5,0.028386,0.136189,0.166222,0.002162,0.264369,0.00197,0.137393,0.122887,0.030767,0.076585,0.033071,4.4931,7.3587,0.2641,1.2648,0.092,74.3,4.341,1.0003,0.0829,4.515,2.1004,0.1119,200,30,60
207,random_035_a=0.5,0.449614,0.007502,0.030105,0.005142,0.022337,0.001897,0.287494,0.007916,0.052918,0.044935,0.090139,3.6915,13.7299,0.2851,1.872,0.3276,3.97,3.1382,1.0436,0.0787,12.3,5.8952,0.9722,200,30,60
208,random_036_a=0.5,0.00208,0.014754,0.244516,0.003224,0.201053,0.050297,0.01089,0.208625,0.113524,0.023402,0.127635,5.49,7.8949,0.11,1.184,0.0801,105.67,4.9754,0.9809,0.0698,3.64,1.8622,0.0104,200,30,60
209,random_037_a=0.5,0.01168,0.003975,0.002752,0.016426,0.334303,0.031441,0.01685,0.007101,0.425309,0.073266,0.076898,6.5348,5.3924,-0.3866,1.1062,0.0539,149.05,5.138,0.9774,0.0585,2.37,1.3236,0.0665,200,30,60
210,random_038_a=0.5,0.037421,0.003129,0.005302,0.00855,0.000179,0.386706,0.076623,0.031776,0.006947,0.043542,0.399825,7.1015,7.6099,-0.4318,1.14,0.0658,154.645,6.8347,0.9784,0.0673,2.935,1.5173,0.1885,200,30,60
211,random_039_a=0.5,0.000504,0.179141,0.144499,0.009022,0.038525,1e-06,0.000774,0.003343,0.085803,0.409518,0.12887,6.3381,13.0238,-0.5438,1.3355,0.0963,96.885,7.5423,1.0125,0.0841,5.45,2.2833,0.0015,200,30,60
