dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W,family,dijk_mean_resistance,dijk_std_resistance,dijk_mean_tortuosity,dijk_std_tortuosity,dijk_mean_lateral,greedy_mean_resistance,greedy_std_resistance,greedy_mean_tortuosity,greedy_std_tortuosity,greedy_mean_lateral,tau_gap,res_gap,efficiency
146,exponential_lam=+0.30,0.013398,0.018085,0.024413,0.032954,0.044483,0.060046,0.081054,0.109411,0.147689,0.19936,0.269107,7.563,6.2169,-1.1028,1.1357,0.053,296.355,8.8066,0.9604,0.0489,4.31,2.0725,0.0702,200,50,100,exponential,296.855,7.47350260627707,1.1179000000000001,0.04604553132252754,4.185,484.39,67.75085825264392,1.6582,0.22927624820279519,11.085,0.5402999999999998,187.53499999999997,0.6128429571213279
149,exponential_lam=+0.60,0.00112,0.002041,0.003718,0.006775,0.012345,0.022494,0.040987,0.074683,0.13608,0.247955,0.451803,8.7986,2.5309,-1.8463,1.0363,0.0242,394.275,5.9453,0.9493,0.0308,1.525,1.0511,0.0092,200,50,100,exponential,394.66,5.53784603374519,1.017,0.02695613410393165,1.51,544.31,34.61117692074622,1.3915999999999997,0.09876340949600909,7.375,0.3745999999999998,149.64999999999992,0.7250647608899342
143,exponential_lam=-0.00,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,5.0,10.0,0.0,1.3868,0.0841,125.07,6.4376,0.9858,0.0593,8.54,3.4711,0.3206,200,50,100,exponential,125.045,6.5242473910866146,1.3697,0.08941973745899827,8.75,244.655,52.263979880648435,1.7892,0.34687891968902224,12.875,0.4195,119.61,0.5111074778770105
148,exponential_lam=+0.50,0.002662,0.004389,0.007236,0.011931,0.01967,0.03243,0.053469,0.088155,0.145343,0.239631,0.395084,8.5036,3.4191,-1.6555,1.0563,0.0325,371.14,7.0874,0.9504,0.0368,2.08,1.2087,0.0212,200,50,100,exponential,370.86,6.3586604575232935,1.0371,0.031790615220225034,2.245,542.995,38.94558728333957,1.4801999999999997,0.11509209770776564,7.995,0.4430999999999998,172.135,0.6829897144540926
152,fixed_mean_f=0.00,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,5.0,10.0,0.0,1.3861,0.0933,124.665,6.726,0.9872,0.0554,9.08,3.6373,0.3188,200,50,100,fixed_mean,125.02,6.602846957161622,1.3537000000000001,0.09509746388937486,8.32,246.615,44.06136395948098,1.7842000000000002,0.279206269097808,12.25,0.4305000000000001,121.59500000000001,0.5069440220586744
169,fixed_mean_f=0.85,0.013636,0.013636,0.013636,0.013636,0.013636,0.863636,0.013636,0.013636,0.013636,0.013636,0.013636,5.0,1.5,-0.0,1.0578,0.0344,215.935,3.9963,0.9502,0.0348,2.16,1.3615,0.0864,200,50,100,fixed_mean,215.83,4.1602449676617335,1.0336,0.0341301087254061,2.055,256.17,13.229747962670299,1.1427,0.0632035079492066,4.355,0.10909999999999997,40.34,0.8425264472811024
167,fixed_mean_f=0.75,0.022727,0.022727,0.022727,0.022727,0.022727,0.772727,0.022727,0.022727,0.022727,0.022727,0.022727,5.0,2.5,-0.0,1.1029,0.0476,203.79,4.9567,0.9622,0.041,3.45,1.8315,0.127,200,50,100,fixed_mean,203.41,4.53926476680041,1.0794,0.04611151002498094,3.33,261.51,15.455557943884909,1.2518,0.08002989391220004,5.78,0.1724000000000001,58.099999999999994,0.7778287637184047
153,fixed_mean_f=0.05,0.086364,0.086364,0.086364,0.086364,0.086364,0.136364,0.086364,0.086364,0.086364,0.086364,0.086364,5.0,9.5,0.0,1.3684,0.0885,129.125,6.2349,0.9982,0.0588,8.245,3.6042,0.3125,200,50,100,fixed_mean,131.03,6.4010913014302675,1.3264999999999998,0.08660979321882159,7.83,253.94,48.01639585971425,1.7855,0.30391044369837755,12.385,0.4590000000000003,122.91,0.5159880286681894
160,fixed_mean_f=0.40,0.054545,0.054545,0.054545,0.054545,0.054545,0.454545,0.054545,0.054545,0.054545,0.054545,0.054545,5.0,6.0,-0.0,1.2352,0.0698,164.685,5.8855,0.9719,0.0561,6.385,2.8807,0.2283,200,50,100,fixed_mean,164.935,5.883353144347663,1.2185,0.06775473059195161,6.285,267.965,30.10707482924685,1.5989999999999998,0.17469859183734066,10.425,0.38049999999999984,103.02999999999997,0.6155094881794265
157,fixed_mean_f=0.25,0.068182,0.068182,0.068182,0.068182,0.068182,0.318182,0.068182,0.068182,0.068182,0.068182,0.068182,5.0,7.5,0.0,1.2983,0.0805,149.285,6.3376,0.9832,0.055,7.07,2.995,0.2678,200,50,100,fixed_mean,148.715,6.5196860762358275,1.2688,0.07412172522785591,7.18,267.56,38.62545831638447,1.7250999999999999,0.20001002487438288,11.63,0.45629999999999993,118.845,0.5558192554940948
163,fixed_mean_f=0.55,0.040909,0.040909,0.040909,0.040909,0.040909,0.590909,0.040909,0.040909,0.040909,0.040909,0.040909,5.0,4.5,-0.0,1.1838,0.0716,181.635,5.553,0.9692,0.0518,5.38,2.7392,0.188,200,50,100,fixed_mean,180.865,5.689342500715901,1.1559,0.05901358330990734,4.965,269.395,26.40026219985524,1.4703000000000004,0.13379617739467423,8.935,0.31440000000000046,88.52999999999997,0.6713747471185435
155,fixed_mean_f=0.15,0.077273,0.077273,0.077273,0.077273,0.077273,0.227273,0.077273,0.077273,0.077273,0.077273,0.077273,5.0,8.5,-0.0,1.335,0.0824,139.545,6.4151,0.9869,0.0572,7.935,3.5132,0.294,200,50,100,fixed_mean,139.02,5.896050973781277,1.3076999999999999,0.0865573269820144,7.885,264.68,37.50655018170377,1.7978,0.21760496225497697,13.37,0.4901000000000002,125.66,0.5252380232733868
202,random_030_a=0.5,0.003626,0.003059,1.4e-05,0.000157,0.052865,0.198544,0.004242,0.201152,0.317907,0.060754,0.157679,7.3081,3.45,-0.4827,1.06,0.0316,314.565,5.3628,0.9501,0.0395,2.135,1.2183,0.0257,200,50,100,random,314.31,5.528718989815064,1.0407,0.031407677581369774,2.335,475.275,34.318334976771375,1.5682999999999998,0.11607097984340894,9.925,0.5275999999999998,160.96499999999997,0.6613223922991952
172,random_000_a=0.5,0.086932,0.138346,0.000958,0.081669,0.001774,0.014857,0.048456,0.033621,0.115192,0.080481,0.397712,6.6157,14.5635,-0.6643,1.4178,0.1013,166.97,10.0266,0.9923,0.0559,9.46,3.7735,0.2982,200,50,100,random,166.695,10.110046498459095,1.3988,0.10436965615363568,9.245,341.51,96.06127598423099,1.7838,0.4961211960862287,12.38,0.385,174.815,0.4881116219144388
194,random_022_a=0.5,0.014352,0.105586,0.121189,0.000816,0.070794,0.283992,0.189447,0.0616,0.085786,0.02804,0.038396,4.944,5.8263,-0.0946,1.2372,0.0678,163.16,6.2167,0.9739,0.0563,6.175,2.7279,0.0628,200,50,100,random,163.135,5.803895330295432,1.2252,0.07140344712481698,6.175,264.335,33.95670869396257,1.6013,0.1848000685244277,10.36,0.3760999999999999,101.19999999999999,0.6171524769705109
203,random_031_a=0.5,0.190925,0.009775,0.021069,0.000186,7.6e-05,0.133398,0.141869,0.330032,0.003317,0.115603,0.053751,5.4857,9.5694,-0.7476,1.3977,0.1049,139.13,8.9965,0.9953,0.058,8.995,4.0443,0.6305,200,50,100,random,139.585,8.708730385344532,1.3933000000000002,0.10358940012904543,9.205,281.06,44.94112731811604,1.6972999999999998,0.2342071196064967,11.685,0.3039999999999996,141.475,0.4966377285988757
190,random_018_a=0.5,0.013934,0.015659,0.097753,0.202063,0.009792,0.042214,0.265018,0.120167,0.008359,0.043161,0.181881,5.773,7.7577,0.0689,1.2033,0.0588,197.275,6.4613,0.9689,0.0568,5.58,2.6398,0.0635,200,50,100,random,197.54,6.114354146855237,1.1881,0.06212639086741685,5.71,323.1,36.22112435093962,1.6763,0.1681358328597961,11.485,0.48819999999999997,125.56000000000003,0.6113896626431444
200,random_028_a=0.5,0.223997,0.048878,0.252376,0.219046,0.118479,0.066905,0.000327,0.000429,0.001092,0.06781,0.00066,2.6498,5.2379,1.2141,1.4835,0.1157,47.41,3.4396,1.0046,0.0601,9.87,3.8792,0.6788,200,50,100,random,46.775,3.798224261110505,1.4746000000000001,0.11198905186978532,10.44,101.765,13.089171365490479,1.5833,0.12231892575554262,10.28,0.1086999999999998,54.99,0.4596373998919078
182,random_010_a=0.5,0.080262,0.079311,0.029315,0.097128,0.043135,0.011727,0.209953,0.000928,0.004474,0.020164,0.423603,6.38,13.2332,-0.4062,1.3756,0.1018,171.54,9.1062,0.9902,0.0562,8.605,3.5542,0.2953,200,50,100,random,172.005,8.92768124779954,1.3501999999999998,0.08856170661971789,8.51,333.06,74.67481530074919,1.8201999999999998,0.38356167403553854,12.925,0.47,161.055,0.5164384795532336
242,random_070_a=1.5,0.0718,0.095597,0.267748,0.046415,0.130782,0.062471,0.065661,0.04701,0.057787,0.041096,0.113633,4.2973,9.8291,0.5542,1.3507,0.0775,100.68,4.6676,0.9885,0.0619,8.465,3.5456,0.2651,200,50,100,random,100.945,4.840363684994658,1.3127000000000002,0.07271276180041035,7.645,190.255,30.813427455539394,1.7410999999999999,0.2161629526781885,11.995,0.42839999999999967,89.31,0.5305773829859924
