dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W,family,dijk_mean_resistance,dijk_std_resistance,dijk_mean_tortuosity,dijk_std_tortuosity,dijk_mean_lateral,dijk_mean_time_ms,greedy_mean_resistance,greedy_std_resistance,greedy_mean_tortuosity,greedy_std_tortuosity,greedy_mean_lateral,greedy_mean_time_ms,tau_gap,res_gap,efficiency,dijk_time_ms,greedy_time_ms,speedup
140,exponential_lam=-0.30,0.269107,0.19936,0.147689,0.109411,0.081054,0.060046,0.044483,0.032954,0.024413,0.018085,0.013398,2.437,6.2169,1.1028,1.6019,0.1424,25.96,2.6464,1.0172,0.0578,12.5,5.5583,0.7393,200,50,100,exponential,227.86666666666667,3.9976183385801582,1.7081666666666666,0.06604561915467072,65.86666666666666,11526.124727799714,600.0666666666667,36.59325985296563,1.5956666666666666,0.04553713816634675,54.666666666666664,7654.883341665845,-0.11250000000000004,372.20000000000005,0.3797355849350072,11526.124727799714,7654.883341665845,1.5057218004959712
150,exponential_lam=+0.70,0.000459,0.000925,0.001862,0.00375,0.007552,0.015209,0.030627,0.061674,0.124197,0.250102,0.503643,9.0185,1.9046,-1.9864,1.0221,0.0186,411.87,5.2259,0.9457,0.0241,0.99,0.8387,0.003,200,50,100,exponential,3439.3333333333335,7.898161329129228,1.0321666666666665,0.009859126784476474,7.466666666666667,10739.075522198498,4439.533333333334,108.39073936897182,1.3509999999999995,0.041606146523938375,22.6,7648.812819466305,0.3188333333333331,1000.2000000000003,0.7747060501854549,10739.075522198498,7648.812819466305,1.4040186072886296
146,exponential_lam=+0.30,0.013398,0.018085,0.024413,0.032954,0.044483,0.060046,0.081054,0.109411,0.147689,0.19936,0.269107,7.563,6.2169,-1.1028,1.1357,0.053,296.355,8.8066,0.9604,0.0489,4.31,2.0725,0.0702,200,50,100,exponential,2505.133333333333,16.42240049734624,1.1651666666666667,0.030843305980545,20.533333333333335,10830.856763866419,3100.266666666667,1371.0377960126548,1.338,0.5951186856417802,31.866666666666667,7669.322877800247,0.1728333333333334,595.1333333333337,0.8080380182349904,10830.856763866419,7669.322877800247,1.4122311625733743
149,exponential_lam=+0.60,0.00112,0.002041,0.003718,0.006775,0.012345,0.022494,0.040987,0.074683,0.13608,0.247955,0.451803,8.7986,2.5309,-1.8463,1.0363,0.0242,394.275,5.9453,0.9493,0.0308,1.525,1.0511,0.0092,200,50,100,exponential,3305.6,11.51892852159932,1.0494999999999999,0.008772929141072893,9.733333333333333,10672.662530598851,4433.333333333333,93.27047202829496,1.4238333333333335,0.0382644308289914,23.0,7670.715586065004,0.37433333333333363,1127.7333333333331,0.745624060150376,10672.662530598851,7670.715586065004,1.3913516165281021
143,exponential_lam=-0.00,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,5.0,10.0,0.0,1.3868,0.0841,125.07,6.4376,0.9858,0.0593,8.54,3.4711,0.3206,200,50,100,exponential,1069.9333333333334,12.526923386203395,1.4241666666666668,0.03570297439923432,36.4,11127.216336131096,1779.3333333333333,718.8244040163938,1.6156666666666666,0.6416652906602438,36.93333333333333,7655.267500000386,0.19149999999999978,709.3999999999999,0.6013113525665044,11127.216336131096,7655.267500000386,1.4535372325174183
148,exponential_lam=+0.50,0.002662,0.004389,0.007236,0.011931,0.01967,0.03243,0.053469,0.088155,0.145343,0.239631,0.395084,8.5036,3.4191,-1.6555,1.0563,0.0325,371.14,7.0874,0.9504,0.0368,2.08,1.2087,0.0212,200,50,100,exponential,3110.4666666666667,11.344392363420711,1.074,0.014008925726121902,13.4,10578.017988866972,4144.933333333333,528.7826270469433,1.4201666666666668,0.17733761854829602,32.53333333333333,7747.242705601578,0.34616666666666673,1034.4666666666667,0.7504262231801074,10578.017988866972,7747.242705601578,1.365391325770474
152,fixed_mean_f=0.00,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,0.090909,5.0,10.0,0.0,1.3861,0.0933,124.665,6.726,0.9872,0.0554,9.08,3.6373,0.3188,200,50,100,fixed_mean,1072.0666666666666,9.647106647418527,1.4371666666666665,0.035580224577036905,39.46666666666667,11207.961533331156,1852.8666666666666,549.2731387500949,1.6553333333333333,0.47962491545353386,39.53333333333333,7723.658099999496,0.21816666666666684,780.8,0.5785989277875724,11207.961533331156,7723.658099999496,1.4511208792802321
169,fixed_mean_f=0.85,0.013636,0.013636,0.013636,0.013636,0.013636,0.863636,0.013636,0.013636,0.013636,0.013636,0.013636,5.0,1.5,-0.0,1.0578,0.0344,215.935,3.9963,0.9502,0.0348,2.16,1.3615,0.0864,200,50,100,fixed_mean,1815.9333333333334,11.29770309567813,1.0775000000000001,0.016447969913813507,13.2,10596.227136064164,2087.866666666667,30.56343909843605,1.1651666666666667,0.020668874690035283,23.266666666666666,7690.871152801749,0.08766666666666656,271.9333333333334,0.8697554122230027,10596.227136064164,7690.871152801749,1.377766825830128
167,fixed_mean_f=0.75,0.022727,0.022727,0.022727,0.022727,0.022727,0.772727,0.022727,0.022727,0.022727,0.022727,0.022727,5.0,2.5,-0.0,1.1029,0.0476,203.79,4.9567,0.9622,0.041,3.45,1.8315,0.127,200,50,100,fixed_mean,1716.8666666666666,8.584593065209212,1.1171666666666666,0.01679356452703861,15.6,10653.845850001864,2129.4666666666667,39.99797613927604,1.2725,0.023356705981060658,33.333333333333336,7674.464811132444,0.15533333333333332,412.60000000000014,0.8062425646484253,10653.845850001864,7674.464811132444,1.3882200403795693
153,fixed_mean_f=0.05,0.086364,0.086364,0.086364,0.086364,0.086364,0.136364,0.086364,0.086364,0.086364,0.086364,0.086364,5.0,9.5,0.0,1.3684,0.0885,129.125,6.2349,0.9982,0.0588,8.245,3.6042,0.3125,200,50,100,fixed_mean,1119.0,9.118270512704541,1.4191666666666665,0.034077991780759674,40.333333333333336,11093.311669467948,1700.6,755.7106211091273,1.5013333333333336,0.6474626758869323,48.733333333333334,7693.400911133115,0.08216666666666717,581.5999999999999,0.6580030577443255,11093.311669467948,7693.400911133115,1.4419255928044545
160,fixed_mean_f=0.40,0.054545,0.054545,0.054545,0.054545,0.054545,0.454545,0.054545,0.054545,0.054545,0.054545,0.054545,5.0,6.0,-0.0,1.2352,0.0698,164.685,5.8855,0.9719,0.0561,6.385,2.8807,0.2283,200,50,100,fixed_mean,1395.2666666666667,12.032495683811916,1.2756666666666667,0.03589999336782006,30.8,10854.183144397877,2191.2,75.72525527005034,1.6216666666666668,0.04068242278686857,42.2,7700.490097200964,0.3460000000000001,795.9333333333332,0.6367591578434952,10854.183144397877,7700.490097200964,1.4095444585200159
157,fixed_mean_f=0.25,0.068182,0.068182,0.068182,0.068182,0.068182,0.318182,0.068182,0.068182,0.068182,0.068182,0.068182,5.0,7.5,0.0,1.2983,0.0805,149.285,6.3376,0.9832,0.055,7.07,2.995,0.2678,200,50,100,fixed_mean,1281.6666666666667,8.591246929842246,1.3208333333333335,0.030526140242343753,30.133333333333333,10946.746455602502,1956.5333333333333,597.961401843997,1.5733333333333335,0.47408527211683693,39.06666666666667,7695.200211069702,0.25249999999999995,674.8666666666666,0.655070192176639,10946.746455602502,7695.200211069702,1.4225421243563467
163,fixed_mean_f=0.55,0.040909,0.040909,0.040909,0.040909,0.040909,0.590909,0.040909,0.040909,0.040909,0.040909,0.040909,5.0,4.5,-0.0,1.1838,0.0716,181.635,5.553,0.9692,0.0518,5.38,2.7392,0.188,200,50,100,fixed_mean,1531.0666666666666,11.689229882164831,1.1985,0.023141644589045822,22.6,11011.272691667546,2217.4,61.848663226113,1.4873333333333332,0.048563899976756156,40.333333333333336,7667.260594464218,0.2888333333333333,686.3333333333335,0.6904783379934457,11011.272691667546,7667.260594464218,1.4361417035463373
155,fixed_mean_f=0.15,0.077273,0.077273,0.077273,0.077273,0.077273,0.227273,0.077273,0.077273,0.077273,0.077273,0.077273,5.0,8.5,-0.0,1.335,0.0824,139.545,6.4151,0.9869,0.0572,7.935,3.5132,0.294,200,50,100,fixed_mean,1191.0666666666666,14.640778017317963,1.3631666666666662,0.025115210720274846,35.6,11029.697941666624,2074.0666666666666,470.05766616853464,1.7429999999999997,0.3796887823317558,44.86666666666667,7695.315147199048,0.37983333333333347,883.0,0.5742663366654881,11029.697941666624,7695.315147199048,1.4333003562149407
