run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
320,127,69,1.38,7,-7,3.333,1.0326,0.2647
321,130,76,1.52,11,-2,5.487,0.8845,0.36
322,113,66,1.32,9,-8,2.818,1.0046,0.3846
323,132,72,1.44,9,4,2.028,0.9503,0.2958
324,122,68,1.36,9,8,4.5,0.9254,0.3134
325,131,67,1.34,8,5,3.716,0.904,0.3485
326,121,64,1.28,10,6,5.531,1.0,0.2698
327,138,66,1.32,9,-4,2.258,0.9668,0.2923
328,106,72,1.44,11,-8,7.347,0.9131,0.4789
329,128,68,1.36,4,-2,0.941,0.989,0.2985
330,121,72,1.44,8,-2,1.819,0.9019,0.2817
331,134,68,1.36,5,4,2.353,0.971,0.3284
332,125,64,1.28,3,0,1.062,0.7997,0.2698
333,127,74,1.48,8,0,2.486,1.0668,0.3014
334,122,71,1.42,5,3,0.958,1.0949,0.3143
335,117,67,1.34,7,7,1.955,0.9983,0.3333
336,126,64,1.28,4,0,2.172,0.9538,0.3175
337,134,65,1.3,8,-5,2.508,1.0067,0.3281
338,122,79,1.58,12,3,5.62,0.9946,0.4487
339,122,75,1.5,7,-5,1.627,0.9721,0.3243
340,136,81,1.62,9,3,2.716,1.0619,0.275
341,119,76,1.52,11,-4,4.868,0.8837,0.3333
342,130,70,1.4,17,-16,7.714,0.992,0.3333
343,134,66,1.32,4,2,1.152,1.0551,0.2615
344,122,65,1.3,8,7,1.969,0.9907,0.2656
345,122,66,1.32,15,14,8.848,0.9623,0.2769
346,123,67,1.34,6,1,1.582,0.9911,0.303
347,130,70,1.4,7,4,1.714,0.9922,0.3043
348,123,63,1.26,7,-5,1.683,1.0025,0.2581
349,136,72,1.44,15,-14,8.083,1.0122,0.2394
350,124,67,1.34,11,-5,3.955,1.0158,0.2273
351,128,68,1.36,10,-6,2.647,1.0175,0.2985
352,129,63,1.26,7,5,1.063,1.056,0.2419
353,119,72,1.44,15,12,5.306,1.0129,0.3662
354,132,68,1.36,13,12,8.147,0.9797,0.2836
355,127,69,1.38,14,-13,6.159,1.0495,0.3088
356,136,63,1.26,6,1,1.333,0.9839,0.2419
357,124,66,1.32,7,-2,2.091,0.9623,0.3231
358,126,67,1.34,6,3,1.015,0.9826,0.3485
359,132,72,1.44,11,-6,2.583,0.9503,0.3521
360,124,68,1.36,10,-8,3.75,1.0129,0.3134
361,129,64,1.28,7,2,3.406,0.9403,0.2381
362,114,69,1.38,10,-7,3.58,1.0285,0.3235
363,125,61,1.22,7,3,2.262,0.984,0.2667
364,116,74,1.48,11,-6,5.851,1.0838,0.3288
365,130,66,1.32,7,4,1.0,1.0665,0.3077
366,126,67,1.34,9,7,5.09,0.9601,0.2576
367,114,64,1.28,6,-2,1.922,1.0665,0.381
368,132,79,1.58,14,3,4.443,0.9194,0.359
369,116,64,1.28,4,2,0.953,0.949,0.3651
370,130,64,1.28,5,0,1.359,0.8991,0.2857
371,118,74,1.48,6,-2,1.243,1.1206,0.3425
372,125,70,1.4,10,6,2.086,1.0466,0.2464
373,123,71,1.42,11,-7,3.282,0.9339,0.3286
374,134,73,1.46,8,-3,1.616,0.9565,0.2639
375,114,66,1.32,8,6,2.03,0.908,0.2769
376,135,72,1.44,6,-6,3.25,1.069,0.2958
377,127,72,1.44,16,12,5.264,0.9888,0.3099
378,129,70,1.4,15,-14,8.986,0.9961,0.3913
379,136,66,1.32,4,0,1.303,0.9167,0.3385
380,123,67,1.34,4,-1,0.866,0.824,0.2879
381,135,69,1.38,13,-9,3.884,1.0326,0.3088
382,115,66,1.32,9,-4,2.106,1.0087,0.2462
383,120,67,1.34,8,7,2.776,1.0291,0.3182
384,128,67,1.34,9,-9,4.03,1.0243,0.2273
385,130,71,1.42,17,-15,7.521,1.0022,0.3571
