run,total_resistance,path_length,tortuosity,max_lateral_deviation,net_drift,avg_dev_from_start,fractal_dimension,zero_cost_ratio
425,432,52,1.04,2,2,1.096,0.9679,0.0196
426,440,51,1.02,1,-1,0.412,0.9488,0.02
427,430,50,1.0,0,0,0.0,0.9453,0.0
428,437,55,1.1,5,-5,1.909,0.9922,0.0741
429,422,51,1.02,1,1,0.294,0.9539,0.06
430,433,52,1.04,1,0,0.385,0.9623,0.0588
431,425,53,1.06,3,3,1.358,0.9131,0.0385
432,431,52,1.04,1,0,0.269,0.9734,0.0588
433,422,52,1.04,2,-2,0.865,0.9679,0.0588
434,422,51,1.02,1,1,0.275,0.9595,0.02
435,437,54,1.08,4,4,1.056,0.9212,0.0566
436,435,54,1.08,2,0,0.63,0.9691,0.0189
437,432,52,1.04,1,0,0.327,0.9623,0.0392
438,424,53,1.06,2,-1,1.0,0.961,0.0192
439,432,52,1.04,2,2,1.385,0.9572,0.0392
440,431,50,1.0,0,0,0.0,0.9453,0.0204
441,424,51,1.02,1,-1,0.294,0.891,0.04
442,435,51,1.02,1,-1,0.51,0.9539,0.02
443,437,53,1.06,3,3,2.208,0.9762,0.0192
444,418,52,1.04,1,0,0.173,0.9734,0.0392
445,423,51,1.02,1,-1,0.216,0.9595,0.06
446,425,53,1.06,3,3,1.472,0.9762,0.0769
447,427,50,1.0,0,0,0.0,0.9453,0.0408
448,425,52,1.04,1,0,0.346,0.844,0.0392
449,421,50,1.0,0,0,0.0,0.9453,0.0408
450,437,52,1.04,1,0,0.135,0.844,0.0588
451,424,53,1.06,2,1,1.019,0.961,0.0577
452,433,52,1.04,1,0,0.577,0.9623,0.0588
453,427,50,1.0,0,0,0.0,0.9453,0.0408
454,434,51,1.02,1,1,0.333,0.9595,0.04
455,442,53,1.06,3,3,1.679,0.9131,0.0385
456,440,50,1.0,0,0,0.0,0.9453,0.0408
457,437,50,1.0,0,0,0.0,0.9453,0.0408
458,425,54,1.08,4,-4,2.056,0.979,0.0
459,424,53,1.06,3,3,2.264,0.9655,0.0769
460,433,53,1.06,1,1,0.755,0.9705,0.0
461,440,51,1.02,1,-1,0.647,0.9539,0.02
462,423,52,1.04,1,0,0.288,0.9527,0.098
463,421,52,1.04,2,2,1.673,0.9679,0.0392
464,429,54,1.08,4,-4,1.296,0.9212,0.0943
465,434,51,1.02,1,1,0.549,0.9539,0.04
466,430,53,1.06,3,3,1.962,0.9762,0.0385
467,434,52,1.04,1,0,0.596,0.9623,0.0588
468,425,51,1.02,1,1,0.745,0.9488,0.04
469,429,50,1.0,0,0,0.0,0.9453,0.0204
470,434,52,1.04,1,0,0.269,0.9623,0.0588
471,424,53,1.06,2,1,0.245,0.9655,0.0385
472,434,52,1.04,2,-2,0.904,0.9572,0.0588
473,419,55,1.1,3,-1,0.673,0.8682,0.0556
