p0,p10,tortuosity,resistance
0.8158604006516592,0.1841395993483408,1.06,0
0.5684636075329074,0.43153639246709263,1.39,0
0.1274938226299974,0.8725061773700026,1.41,570
0.6584086127503733,0.3415913872496267,1.2,0
0.8508267106549051,0.14917328934509488,1.05,0
0.18070174737825112,0.8192982526217489,1.43,440
0.17047624503871353,0.8295237549612865,1.3,470
0.655300497714549,0.344699502285451,1.24,0
0.4973115138535371,0.5026884861464629,2.33,0
0.7851242057241538,0.21487579427584624,1.07,0
0.12128718395230403,0.878712816047696,1.32,600
0.6611056371833612,0.33889436281663876,1.22,0
0.44545544928979136,0.5545445507102087,1.83,20
0.1988615311056047,0.8011384688943953,1.51,390
0.13861042679719696,0.8613895732028031,1.33,540
0.684522112868245,0.31547788713175495,1.15,0
0.22078341913863328,0.7792165808613667,1.59,340
0.7033292427796871,0.2966707572203129,1.15,0
0.8077842620130404,0.19221573798695957,1.07,0
0.7533389236208008,0.2466610763791992,1.12,0
0.6636486690892993,0.3363513309107007,1.21,0
0.498377175323278,0.501622824676722,2.02,0
0.609852439190248,0.390147560809752,1.29,0
0.8664145566889391,0.13358544331106093,1.03,0
0.6593810603795079,0.34061893962049206,1.21,0
0.3511408328645196,0.6488591671354804,1.81,130
0.281231484277262,0.7187685157227379,1.57,230
0.3599242190350378,0.6400757809649622,1.81,140
0.4819451568207456,0.5180548431792544,1.89,20
0.30128273598915023,0.6987172640108498,1.61,210
0.8986407169671005,0.10135928303289954,1.02,0
0.3863999506219612,0.6136000493780388,1.92,110
0.13636458507634056,0.8636354149236595,1.12,530
0.47964763048440723,0.5203523695155927,2.43,0
0.18319639694948764,0.8168036030505124,1.35,380
0.8431459025880783,0.1568540974119217,1.04,0
0.5266139005408726,0.47338609945912735,1.5,0
0.681511203632921,0.31848879636707905,1.2,0
0.34130764998691854,0.6586923500130815,1.54,160
0.3629930587118273,0.6370069412881727,1.77,120
0.5129331300170697,0.48706686998293025,1.63,0
0.5160905913196827,0.4839094086803173,1.62,0
0.22499564437749964,0.7750043556225004,1.5,310
0.11784452608409408,0.8821554739159059,1.34,560
0.8692819307907674,0.13071806920923257,1.03,0
0.7735353140956818,0.22646468590431823,1.08,0
0.21397883480737054,0.7860211651926294,1.66,380
0.8748152528753649,0.12518474712463512,1.03,0
0.8205894918573455,0.17941050814265447,1.06,0
0.7730840202980761,0.2269159797019239,1.09,0
0.5075771804815061,0.49242281951849387,1.4,10
0.5527277113406395,0.44727228865936053,1.39,0
0.10754946908059707,0.892450530919403,1.21,630
0.24677940334862056,0.7532205966513794,1.47,300
0.46892521329735165,0.5310747867026484,2.0,30
0.1339863912122147,0.8660136087877853,1.36,570
0.6971956701167228,0.3028043298832772,1.17,0
0.20622834615353336,0.7937716538464666,1.37,360
0.6294499779344185,0.3705500220655815,1.26,0
0.11427774869257155,0.8857222513074284,1.25,590
0.6242136098659106,0.37578639013408943,1.26,0
0.6064201599846533,0.39357984001534674,1.28,0
0.7802580700853083,0.21974192991469166,1.09,0
0.18415663599397583,0.8158433640060242,1.54,430
0.4377064374661207,0.5622935625338793,2.52,30
0.78401153498963,0.21598846501036995,1.08,0
0.13996898569722385,0.8600310143027762,1.28,520
0.5630207137539197,0.4369792862460803,1.44,0
0.3410690190988828,0.6589309809011172,1.71,140
0.8628327385343773,0.13716726146562275,1.05,0
0.18784138338072875,0.8121586166192712,1.46,420
0.5036035798162333,0.49639642018376673,1.65,0
0.7274634495592074,0.2725365504407926,1.12,0
0.15994379348170176,0.8400562065182983,1.25,480
0.27691586789642225,0.7230841321035777,1.47,240
0.8783462394227565,0.12165376057724353,1.02,0
0.8194000046615182,0.1805999953384818,1.06,0
0.6768191477510352,0.32318085224896476,1.18,0
0.1962604306634778,0.8037395693365222,1.49,380
0.5275250807726845,0.47247491922731555,1.46,0
0.4100487505590395,0.5899512494409604,1.77,70
0.15243604747773576,0.8475639525222642,1.3,450
0.11632841511734196,0.8836715848826581,1.29,600
0.22868475847549263,0.7713152415245074,1.49,330
0.3010097128831376,0.6989902871168624,1.66,200
0.256562058899105,0.743437941100895,1.55,300
0.5679383662175631,0.4320616337824369,1.4,0
0.2006156559922613,0.7993843440077387,1.32,390
0.16935421215229837,0.8306457878477016,1.61,430
0.12974262378987397,0.870257376210126,1.3,540
0.19077782766827794,0.8092221723317221,1.38,390
0.8656478439223801,0.13435215607761986,1.03,0
0.23444252301402219,0.7655574769859779,1.41,330
0.763745362044328,0.23625463795567203,1.11,0
0.451960083109488,0.548039916890512,2.02,30
0.37820074781710117,0.6217992521828988,1.65,90
0.7418571258984352,0.2581428741015648,1.12,0
0.8627161931905319,0.13728380680946806,1.03,0
0.5320598273507894,0.4679401726492106,1.53,0
0.8194224147427103,0.18057758525728973,1.07,0
0.3290585518441016,0.6709414481558984,1.71,170
0.8931298252209245,0.10687017477907546,1.02,0
0.7992151044733782,0.20078489552662182,1.08,0
0.7127424031338127,0.28725759686618735,1.16,0
0.14931309512198565,0.8506869048780143,1.45,480
0.8169579686687949,0.1830420313312051,1.08,0
0.7512165549205907,0.2487834450794093,1.11,0
0.7543583630566856,0.24564163694331442,1.09,0
0.6431916514755235,0.3568083485244765,1.22,0
0.20874600543528032,0.7912539945647197,1.54,370
