dist_id,dist_label,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,dist_mean,dist_var,dist_skew,mean_tortuosity,std_tortuosity,mean_resistance,std_resistance,mean_fractal_dim,std_fractal_dim,mean_lateral_dev,std_lateral_dev,mean_zero_cost_ratio,n_runs,grid_H,grid_W
76,uniform_4to6,0.0,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,0.0,5.0,0.6667,0.0,1.0101,0.0133,229.955,1.955,0.9484,0.0115,0.475,0.6175,0.0,200,50,100
77,uniform_4to7,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,0.0,5.5,1.25,0.0,1.025,0.0196,247.79,2.7153,0.9471,0.0252,1.08,0.8528,0.0,200,50,100
78,uniform_4to8,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,0.0,6.0,2.0,0.0,1.0361,0.0236,264.305,3.5968,0.9449,0.0315,1.47,0.9506,0.0,200,50,100
79,uniform_4to9,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,0.0,6.5,2.9167,-0.0,1.0479,0.0273,281.22,4.0501,0.9492,0.0378,1.795,1.1355,0.0,200,50,100
80,uniform_4to10,0.0,0.0,0.0,0.0,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,0.142857,7.0,4.0,-0.0,1.0625,0.0323,297.53,5.2533,0.9514,0.0392,2.28,1.3268,0.0,200,50,100
81,uniform_5to6,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,5.5,0.25,0.0,1.0012,0.0048,260.725,1.5464,0.9456,0.0045,0.06,0.2381,0.0,200,50,100
82,uniform_5to7,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0.333333,0.0,0.0,0.0,6.0,0.6667,0.0,1.0059,0.01,279.085,2.4326,0.9464,0.0098,0.285,0.4742,0.0,200,50,100
83,uniform_5to8,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0,6.5,1.25,0.0,1.0157,0.0163,297.755,2.9133,0.9474,0.0182,0.7,0.7229,0.0,200,50,100
84,uniform_5to9,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.0,7.0,2.0,0.0,1.0229,0.0195,314.88,4.0914,0.9491,0.0216,1.015,0.8535,0.0,200,50,100
85,uniform_5to10,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.166667,0.166667,0.166667,0.166667,7.5,2.9167,-0.0,1.034,0.0216,332.815,3.8581,0.9476,0.0295,1.435,0.9328,0.0,200,50,100
